report,question,paragraph,score,position,relevance
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"How we workFor any organization’s environmental sustainability journey, it is critical to set commitments, develop a strategy, and build an operational roadmap—all while measuring progress and ensuring accountability. We’ve learned a lot over the last three years of Microsoft’s sustainability journey, and we hope that sharing our approach can help other organizations as they develop their own roadmap. 1Set commitments based on science Sustainability science has been at the center  of our commitments. In 2019, Microsoft took a  step back to look at the science behind climate change and saw that our commitment to being carbon neutral was not enough. The world  needs to reach net zero by or before 2050, and  achieving it relies heavily on private sector partnership and action. This guided us to make our commitments to be a carbon negative, water positive, zero waste company by 2030. 2Consider all positions of influence  As a global technology leader, Microsoft has many opportunities to influence—as a customer, supplier, investor, employer, policy advocate, and innovation partner. We know it will take commitment across our entire value chain to reach our goals. We also focus on the larger impact that we can have with research, investments, innovation, strategic partnerships, policy, and advocacy. 3Establish sustainability as part of culture  At the heart of the Microsoft culture is the belief that for Microsoft to continue to do well, the world around us also needs to do well.",0.7158629894256592,1,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"How we workFor any organization’s environmental sustainability journey, it is critical to set commitments, develop a strategy, and build an operational roadmap—all while measuring progress and ensuring accountability. We’ve learned a lot over the last three years of Microsoft’s sustainability journey, and we hope that sharing our approach can help other organizations as they develop their own roadmap. 1Set commitments based on science Sustainability science has been at the center  of our commitments. In 2019, Microsoft took a  step back to look at the science behind climate change and saw that our commitment to being carbon neutral was not enough. The world  needs to reach net zero by or before 2050, and  achieving it relies heavily on private sector partnership and action. This guided us to make our commitments to be a carbon negative, water positive, zero waste company by 2030. 2Consider all positions of influence  As a global technology leader, Microsoft has many opportunities to influence—as a customer, supplier, investor, employer, policy advocate, and innovation partner. We know it will take commitment across our entire value chain to reach our goals. We also focus on the larger impact that we can have with research, investments, innovation, strategic partnerships, policy, and advocacy. 3Establish sustainability as part of culture  At the heart of the Microsoft culture is the belief that for Microsoft to continue to do well, the world around us also needs to do well.",0.7158629894256592,2,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"How we workFor any organization’s environmental sustainability journey, it is critical to set commitments, develop a strategy, and build an operational roadmap—all while measuring progress and ensuring accountability. We’ve learned a lot over the last three years of Microsoft’s sustainability journey, and we hope that sharing our approach can help other organizations as they develop their own roadmap. 1Set commitments based on science Sustainability science has been at the center  of our commitments. In 2019, Microsoft took a  step back to look at the science behind climate change and saw that our commitment to being carbon neutral was not enough. The world  needs to reach net zero by or before 2050, and  achieving it relies heavily on private sector partnership and action. This guided us to make our commitments to be a carbon negative, water positive, zero waste company by 2030. 2Consider all positions of influence  As a global technology leader, Microsoft has many opportunities to influence—as a customer, supplier, investor, employer, policy advocate, and innovation partner. We know it will take commitment across our entire value chain to reach our goals. We also focus on the larger impact that we can have with research, investments, innovation, strategic partnerships, policy, and advocacy. 3Establish sustainability as part of culture  At the heart of the Microsoft culture is the belief that for Microsoft to continue to do well, the world around us also needs to do well.",0.7158629894256592,3,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"How we workFor any organization’s environmental sustainability journey, it is critical to set commitments, develop a strategy, and build an operational roadmap—all while measuring progress and ensuring accountability. We’ve learned a lot over the last three years of Microsoft’s sustainability journey, and we hope that sharing our approach can help other organizations as they develop their own roadmap. 1Set commitments based on science Sustainability science has been at the center  of our commitments. In 2019, Microsoft took a  step back to look at the science behind climate change and saw that our commitment to being carbon neutral was not enough. The world  needs to reach net zero by or before 2050, and  achieving it relies heavily on private sector partnership and action. This guided us to make our commitments to be a carbon negative, water positive, zero waste company by 2030. 2Consider all positions of influence  As a global technology leader, Microsoft has many opportunities to influence—as a customer, supplier, investor, employer, policy advocate, and innovation partner. We know it will take commitment across our entire value chain to reach our goals. We also focus on the larger impact that we can have with research, investments, innovation, strategic partnerships, policy, and advocacy. 3Establish sustainability as part of culture  At the heart of the Microsoft culture is the belief that for Microsoft to continue to do well, the world around us also needs to do well.",0.7158629894256592,4,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"How we workFor any organization’s environmental sustainability journey, it is critical to set commitments, develop a strategy, and build an operational roadmap—all while measuring progress and ensuring accountability. We’ve learned a lot over the last three years of Microsoft’s sustainability journey, and we hope that sharing our approach can help other organizations as they develop their own roadmap. 1Set commitments based on science Sustainability science has been at the center  of our commitments. In 2019, Microsoft took a  step back to look at the science behind climate change and saw that our commitment to being carbon neutral was not enough. The world  needs to reach net zero by or before 2050, and  achieving it relies heavily on private sector partnership and action. This guided us to make our commitments to be a carbon negative, water positive, zero waste company by 2030. 2Consider all positions of influence  As a global technology leader, Microsoft has many opportunities to influence—as a customer, supplier, investor, employer, policy advocate, and innovation partner. We know it will take commitment across our entire value chain to reach our goals. We also focus on the larger impact that we can have with research, investments, innovation, strategic partnerships, policy, and advocacy. 3Establish sustainability as part of culture  At the heart of the Microsoft culture is the belief that for Microsoft to continue to do well, the world around us also needs to do well.",0.7158629894256592,5,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"How we workFor any organization’s environmental sustainability journey, it is critical to set commitments, develop a strategy, and build an operational roadmap—all while measuring progress and ensuring accountability. We’ve learned a lot over the last three years of Microsoft’s sustainability journey, and we hope that sharing our approach can help other organizations as they develop their own roadmap. 1Set commitments based on science Sustainability science has been at the center  of our commitments. In 2019, Microsoft took a  step back to look at the science behind climate change and saw that our commitment to being carbon neutral was not enough. The world  needs to reach net zero by or before 2050, and  achieving it relies heavily on private sector partnership and action. This guided us to make our commitments to be a carbon negative, water positive, zero waste company by 2030. 2Consider all positions of influence  As a global technology leader, Microsoft has many opportunities to influence—as a customer, supplier, investor, employer, policy advocate, and innovation partner. We know it will take commitment across our entire value chain to reach our goals. We also focus on the larger impact that we can have with research, investments, innovation, strategic partnerships, policy, and advocacy. 3Establish sustainability as part of culture  At the heart of the Microsoft culture is the belief that for Microsoft to continue to do well, the world around us also needs to do well.",0.7158629894256592,6,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Microsoft will support Telstra in achieving its own sustainability goals with Microsoft Cloud for Sustainability which will provide data insights into sustainability performance. The strategic partnership brings together the best strengths of the two organizations. In 2020, Telstra was certified carbon neutral in their operations, and both Microsoft and Telstra have ambitious climate targets and share a commitment to a net zero carbon future.7>2,400 TerraPraxis and Microsoft entered a strategic collaboration to repurpose over 2,400 coal-fired power plants around the world to run on carbon-free energy. Transparency and collaboration are driving global progress toward a more sustainable future.",0.7122452259063721,7,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Microsoft will support Telstra in achieving its own sustainability goals with Microsoft Cloud for Sustainability which will provide data insights into sustainability performance. The strategic partnership brings together the best strengths of the two organizations. In 2020, Telstra was certified carbon neutral in their operations, and both Microsoft and Telstra have ambitious climate targets and share a commitment to a net zero carbon future.7>2,400 TerraPraxis and Microsoft entered a strategic collaboration to repurpose over 2,400 coal-fired power plants around the world to run on carbon-free energy. Transparency and collaboration are driving global progress toward a more sustainable future.",0.7122452259063721,8,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Microsoft will support Telstra in achieving its own sustainability goals with Microsoft Cloud for Sustainability which will provide data insights into sustainability performance. The strategic partnership brings together the best strengths of the two organizations. In 2020, Telstra was certified carbon neutral in their operations, and both Microsoft and Telstra have ambitious climate targets and share a commitment to a net zero carbon future.7>2,400 TerraPraxis and Microsoft entered a strategic collaboration to repurpose over 2,400 coal-fired power plants around the world to run on carbon-free energy. Transparency and collaboration are driving global progress toward a more sustainable future.",0.7122452259063721,9,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Microsoft will support Telstra in achieving its own sustainability goals with Microsoft Cloud for Sustainability which will provide data insights into sustainability performance. The strategic partnership brings together the best strengths of the two organizations. In 2020, Telstra was certified carbon neutral in their operations, and both Microsoft and Telstra have ambitious climate targets and share a commitment to a net zero carbon future.7>2,400 TerraPraxis and Microsoft entered a strategic collaboration to repurpose over 2,400 coal-fired power plants around the world to run on carbon-free energy. Transparency and collaboration are driving global progress toward a more sustainable future.",0.7122452259063721,10,0
