report,question,paragraph,score,position,relevance
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"ForewordEnabling sustainability for our company,  our customers, and the world2022 marked the sixth warmest year in history. Extreme weather caused devastating droughts, wildfires, famine, floods, and heat waves with alarming frequency. We felt the effects of climate change like never before, and as the planet warms, we’ll continue to see and feel the negative impacts on ecosystems and communities around the world. The most recent report  from the Intergovernmental Panel on Climate Change (IPCC) underscores the severity of the climate crisis, and the urgent need for global collective action. Meaningful climate action requires an enduring commitment from both government and business, with the private sector playing an increasingly important role in the transition from pledges to progress. As we reflect on the seriousness of the climate crisis, we have expanded our ambition to meet this urgent climate need by investing in a broad range of initiatives, technologies and approaches that support a net zero future. As we look toward 2030—and beyond—we remain optimistic about our collective ability to decarbonize the global economy while continuing to grow and prosper as a global community.  4 |  |  | Melanie Nakagawa, Chief Sustainability Officer Brad Smith, Vice Chair and PresidentMicrosoft’s approach to addressing the climate crisis starts with the sustainability of our own business. In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystems—all by 2030.",0.7166545987129211,1,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"ForewordEnabling sustainability for our company,  our customers, and the world2022 marked the sixth warmest year in history. Extreme weather caused devastating droughts, wildfires, famine, floods, and heat waves with alarming frequency. We felt the effects of climate change like never before, and as the planet warms, we’ll continue to see and feel the negative impacts on ecosystems and communities around the world. The most recent report  from the Intergovernmental Panel on Climate Change (IPCC) underscores the severity of the climate crisis, and the urgent need for global collective action. Meaningful climate action requires an enduring commitment from both government and business, with the private sector playing an increasingly important role in the transition from pledges to progress. As we reflect on the seriousness of the climate crisis, we have expanded our ambition to meet this urgent climate need by investing in a broad range of initiatives, technologies and approaches that support a net zero future. As we look toward 2030—and beyond—we remain optimistic about our collective ability to decarbonize the global economy while continuing to grow and prosper as a global community.  4 |  |  | Melanie Nakagawa, Chief Sustainability Officer Brad Smith, Vice Chair and PresidentMicrosoft’s approach to addressing the climate crisis starts with the sustainability of our own business. In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystems—all by 2030.",0.7166545987129211,2,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"ForewordEnabling sustainability for our company,  our customers, and the world2022 marked the sixth warmest year in history. Extreme weather caused devastating droughts, wildfires, famine, floods, and heat waves with alarming frequency. We felt the effects of climate change like never before, and as the planet warms, we’ll continue to see and feel the negative impacts on ecosystems and communities around the world. The most recent report  from the Intergovernmental Panel on Climate Change (IPCC) underscores the severity of the climate crisis, and the urgent need for global collective action. Meaningful climate action requires an enduring commitment from both government and business, with the private sector playing an increasingly important role in the transition from pledges to progress. As we reflect on the seriousness of the climate crisis, we have expanded our ambition to meet this urgent climate need by investing in a broad range of initiatives, technologies and approaches that support a net zero future. As we look toward 2030—and beyond—we remain optimistic about our collective ability to decarbonize the global economy while continuing to grow and prosper as a global community.  4 |  |  | Melanie Nakagawa, Chief Sustainability Officer Brad Smith, Vice Chair and PresidentMicrosoft’s approach to addressing the climate crisis starts with the sustainability of our own business. In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystems—all by 2030.",0.7166545987129211,3,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"ForewordEnabling sustainability for our company,  our customers, and the world2022 marked the sixth warmest year in history. Extreme weather caused devastating droughts, wildfires, famine, floods, and heat waves with alarming frequency. We felt the effects of climate change like never before, and as the planet warms, we’ll continue to see and feel the negative impacts on ecosystems and communities around the world. The most recent report  from the Intergovernmental Panel on Climate Change (IPCC) underscores the severity of the climate crisis, and the urgent need for global collective action. Meaningful climate action requires an enduring commitment from both government and business, with the private sector playing an increasingly important role in the transition from pledges to progress. As we reflect on the seriousness of the climate crisis, we have expanded our ambition to meet this urgent climate need by investing in a broad range of initiatives, technologies and approaches that support a net zero future. As we look toward 2030—and beyond—we remain optimistic about our collective ability to decarbonize the global economy while continuing to grow and prosper as a global community.  4 |  |  | Melanie Nakagawa, Chief Sustainability Officer Brad Smith, Vice Chair and PresidentMicrosoft’s approach to addressing the climate crisis starts with the sustainability of our own business. In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystems—all by 2030.",0.7166545987129211,4,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"ForewordEnabling sustainability for our company,  our customers, and the world2022 marked the sixth warmest year in history. Extreme weather caused devastating droughts, wildfires, famine, floods, and heat waves with alarming frequency. We felt the effects of climate change like never before, and as the planet warms, we’ll continue to see and feel the negative impacts on ecosystems and communities around the world. The most recent report  from the Intergovernmental Panel on Climate Change (IPCC) underscores the severity of the climate crisis, and the urgent need for global collective action. Meaningful climate action requires an enduring commitment from both government and business, with the private sector playing an increasingly important role in the transition from pledges to progress. As we reflect on the seriousness of the climate crisis, we have expanded our ambition to meet this urgent climate need by investing in a broad range of initiatives, technologies and approaches that support a net zero future. As we look toward 2030—and beyond—we remain optimistic about our collective ability to decarbonize the global economy while continuing to grow and prosper as a global community.  4 |  |  | Melanie Nakagawa, Chief Sustainability Officer Brad Smith, Vice Chair and PresidentMicrosoft’s approach to addressing the climate crisis starts with the sustainability of our own business. In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystems—all by 2030.",0.7166545987129211,5,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"ForewordEnabling sustainability for our company,  our customers, and the world2022 marked the sixth warmest year in history. Extreme weather caused devastating droughts, wildfires, famine, floods, and heat waves with alarming frequency. We felt the effects of climate change like never before, and as the planet warms, we’ll continue to see and feel the negative impacts on ecosystems and communities around the world. The most recent report  from the Intergovernmental Panel on Climate Change (IPCC) underscores the severity of the climate crisis, and the urgent need for global collective action. Meaningful climate action requires an enduring commitment from both government and business, with the private sector playing an increasingly important role in the transition from pledges to progress. As we reflect on the seriousness of the climate crisis, we have expanded our ambition to meet this urgent climate need by investing in a broad range of initiatives, technologies and approaches that support a net zero future. As we look toward 2030—and beyond—we remain optimistic about our collective ability to decarbonize the global economy while continuing to grow and prosper as a global community.  4 |  |  | Melanie Nakagawa, Chief Sustainability Officer Brad Smith, Vice Chair and PresidentMicrosoft’s approach to addressing the climate crisis starts with the sustainability of our own business. In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystems—all by 2030.",0.7166545987129211,6,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Microsoft will support Telstra in achieving its own sustainability goals with Microsoft Cloud for Sustainability which will provide data insights into sustainability performance. The strategic partnership brings together the best strengths of the two organizations. In 2020, Telstra was certified carbon neutral in their operations, and both Microsoft and Telstra have ambitious climate targets and share a commitment to a net zero carbon future.7>2,400 TerraPraxis and Microsoft entered a strategic collaboration to repurpose over 2,400 coal-fired power plants around the world to run on carbon-free energy. Transparency and collaboration are driving global progress toward a more sustainable future.",0.7115962505340576,7,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Microsoft will support Telstra in achieving its own sustainability goals with Microsoft Cloud for Sustainability which will provide data insights into sustainability performance. The strategic partnership brings together the best strengths of the two organizations. In 2020, Telstra was certified carbon neutral in their operations, and both Microsoft and Telstra have ambitious climate targets and share a commitment to a net zero carbon future.7>2,400 TerraPraxis and Microsoft entered a strategic collaboration to repurpose over 2,400 coal-fired power plants around the world to run on carbon-free energy. Transparency and collaboration are driving global progress toward a more sustainable future.",0.7115962505340576,8,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Microsoft will support Telstra in achieving its own sustainability goals with Microsoft Cloud for Sustainability which will provide data insights into sustainability performance. The strategic partnership brings together the best strengths of the two organizations. In 2020, Telstra was certified carbon neutral in their operations, and both Microsoft and Telstra have ambitious climate targets and share a commitment to a net zero carbon future.7>2,400 TerraPraxis and Microsoft entered a strategic collaboration to repurpose over 2,400 coal-fired power plants around the world to run on carbon-free energy. Transparency and collaboration are driving global progress toward a more sustainable future.",0.7115962505340576,9,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Microsoft will support Telstra in achieving its own sustainability goals with Microsoft Cloud for Sustainability which will provide data insights into sustainability performance. The strategic partnership brings together the best strengths of the two organizations. In 2020, Telstra was certified carbon neutral in their operations, and both Microsoft and Telstra have ambitious climate targets and share a commitment to a net zero carbon future.7>2,400 TerraPraxis and Microsoft entered a strategic collaboration to repurpose over 2,400 coal-fired power plants around the world to run on carbon-free energy. Transparency and collaboration are driving global progress toward a more sustainable future.",0.7115962505340576,10,0
