Unnamed: 0,Document,Question,Context,Relevant,Page,Source From,Answer,Source Relevance Score,Unsure Flag,Addressed Directly,Core 16 Question
0,2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,"We have also engaged and supported the drive to increase the circularity of devices, boost transparency and efficiency in waste management policies, and empower consumers with better information. Globally, Microsoft advocated for public policies to accelerate climate action; invest in mitigation, adaptation, and a just transition; and align international climate reporting and disclosure rules. At COP27, Microsoft called on countries to remain committed to the target of limiting global warming to 1.5°C. In response to the UN Secretary-General's call to action to develop early warning systems for all within the next five years, Microsoft joined global leaders in support of this initiative while highlighting the fundamental role that technology can play in these efforts. 
Sharing principles that guide our policy work in carbon and electricity 
To support our policy work, we published briefs on carbon and electricity policy to share the priorities and principles that guide Microsoft's policy advocacy work around the world.","In response to the UN Secretary-General's call to action to develop early warning systems for all within the next five years, Microsoft joined global leaders in support of this initiative while highlighting the fundamental role that technology can play in these efforts.",72,text,"[YES]. Microsoft's environmental targets reference external climate change adaptation targets, such as achieving a net zero economy and developing early warning systems. ",3.0,,directly,1
1,2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,"Microsoft’s actions alone will not solve the climate crisis. As a global technology leader, we are also committed to helping build the enabling societal conditions that will support a net zero economy. We’re focused on accelerating the availability of new climate technologies, strengthening our climate policy agenda, helping to develop a more reliable and interoperable carbon accounting system, advocating for skilling programs to expand the green workforce, and working to enable a just energy transition.","As a global technology leader, we are also committed to helping build the enabling societal conditions that will support a net zero economy.",65,text,"[YES]. Microsoft's environmental targets reference external climate change adaptation targets, such as achieving a net zero economy and developing early warning systems. ",3.0,,directly,1
17,2022 Microsoft Environmental Sustainability Report.pdf,Does the company have a strategy on waste management?,"Reducing our waste footprint 
To meet our commitment to being zero waste by 2030, we are reducing, reusing, and recovering waste in our campuses and datacenters. 
We are focused on keeping our products and packaging in use longer. Reducing waste in our cloud hardware A critical piece of achieving our zero waste goal is managing cloud hardware at our growing fleet of datacenters. We have taken an innovative approach towards designing and implementing circularity into our datacenters by launching Circular Centers to optimize reuse","To meet our commitment to being zero waste by 2030, we are reducing, reusing, and recovering waste in our campuses and datacenters.",41,text,"[YES]. Microsoft has a strategy on waste management that involves reduction, recycling, and recovering waste.",3.0,,directly,1
15,2022 Microsoft Environmental Sustainability Report.pdf,Does the company have a strategy on waste management?,"We recognize the urgent need to reduce carbon emissions associated with the lifecycle of these materials. As a company that manufactures devices, builds campuses and datacenters, and uses manufactured goods in our operations, we have committed to responsibly design and source materials and build a more circular approach into our work and the world. To reach our commitment to become a zero waste company by 2030, Microsoft is taking an increasingly circular approach to materials management to reduce waste and carbon emissions. Our strategy goes beyond waste diversion as we work across our value chain, beginning with design and material selection. Wherever possible, we reduce the amount of materials needed. We responsibly source materials for our operations, products, and packaging. We are increasing the use of recycled and recyclable content, reducing hazardous substances, and designing out waste. We aim to keep products and materials in use longer through reuse and repair. We reduce waste generation at end of life with recycling and composting programs.","To reach our commitment to become a zero waste company by 2030, Microsoft is taking an increasingly circular approach to materials management to reduce waste and carbon emissions. Our strategy goes beyond waste diversion as we work across our value chain, beginning with design and material selection. Wherever possible, we reduce the amount of materials needed. We responsibly source materials for our operations, products, and packaging. We are increasing the use of recycled and recyclable content, reducing hazardous substances, and designing out waste. We aim to keep products and materials in use longer through reuse and repair. We reduce waste generation at end of life with recycling and composting programs.",37,text,"[YES]. Microsoft has a strategy on waste management that involves reduction, recycling, and recovering waste.",3.0,,directly,1
14,2022 Microsoft Environmental Sustainability Report.pdf,Does the company identify any impacts of its business activities on the environment?,"Our approach 
Microsoft directly operates on approximately 11,000 acres of land around the world, and we recognize that our own land footprint has an impact on ecosystems. We have made a commitment to permanently protect more land than we use by 2025. We are also committed to being good stewards of the land we use – as well as going beyond our own operations and actively working to protect the environmental health of the communities that host our datacenter operations and where our employees live and work.","Microsoft directly operates on approximately 11,000 acres of land around the world, and we recognize that our own land footprint has an impact on ecosystems",46,text,"[YES]. Microsoft reports their emissions, land use, and waste generation. However, they are focused on highlighting improvements and do not give substantial detail on their current negative impacts.",3.0,,directly,1
13,2022 Microsoft Environmental Sustainability Report.pdf,Does the company identify any impacts of its business activities on the environment?,"In FY22, our business grew by 18 percent and our overall emissions were down 0.5 percent. Our total company emissions were just under 13 million metric tons of carbon dioxide equivalents (mtCO 2e) (marketbased and management-defined criteria for Scope 3 Category 11). Taking into account our renewable energy purchases, our Scope 1 and 2 emissions were approximately 428,000 mtCO 2 e. More than 96 percent of our emissions are in Scope 3, which includes emissions from our supply chain, the lifecycle of our hardware and devices, travel, and other indirect sources. We saw a 0.5 percent increase in our Scope 3 emissions this year based on investments in real-time device telemetry-based measurement, improvements in our operations and supply chain, and purchases of renewable energy.",Our total company emissions were just under 13 million metric tons of carbon dioxide equivalents (mtCO 2e) (marketbased and management-defined criteria for Scope 3 Category 11).,11,text,"[YES]. Microsoft reports their emissions, land use, and waste generation. However, they are focused on highlighting improvements and do not give substantial detail on their current negative impacts.",3.0,,directly,1
12,2022 Microsoft Environmental Sustainability Report.pdf,Does the company identify any impacts of its business activities on the environment?,"Zero waste 
We increased our reuse and recycle rates of all cloud hardware to 82 percent and continue to pace toward our 2030 reuse and recycle goal of 90 percent. We also reduced single-use plastics across all Microsoft product packaging to 3.3 percent and are on track to eliminate their use by 2025. In total, we have diverted 12,159 metric tons of solid waste from landfills. 
Ecosystem protection 
We continue to maintain our commitment to protect more land than we use. In 2022, 12,000 of the over 17,000 acres of contracted land were officially designated as protected. The amount of land protected in 2022 exceeds the approximately 11,200 acres of land we currently use.","In 2022, 12,000 of the over 17,000 acres of contracted land were officially designated as protected. The amount of land protected in 2022 exceeds the approximately 11,200 acres of land we currently use.",5,text,"[YES]. Microsoft reports their emissions, land use, and waste generation. However, they are focused on highlighting improvements and do not give substantial detail on their current negative impacts.",2.0,,directly,1
11,2022 Microsoft Environmental Sustainability Report.pdf,Does the company identify any impacts of its business activities on the environment?,"Zero waste 
We increased our reuse and recycle rates of all cloud hardware to 82 percent and continue to pace toward our 2030 reuse and recycle goal of 90 percent. We also reduced single-use plastics across all Microsoft product packaging to 3.3 percent and are on track to eliminate their use by 2025. In total, we have diverted 12,159 metric tons of solid waste from landfills. 
Ecosystem protection 
We continue to maintain our commitment to protect more land than we use. In 2022, 12,000 of the over 17,000 acres of contracted land were officially designated as protected. The amount of land protected in 2022 exceeds the approximately 11,200 acres of land we currently use.","Our Scope 3 reported emissions increased slightly in 2022, by 0.5 percent, despite a 25 percent increase in purchased goods and services due to business growth.",5,text,"[YES]. Microsoft reports their emissions, land use, and waste generation. However, they are focused on highlighting improvements and do not give substantial detail on their current negative impacts.",2.0,,directly,1
16,2022 Microsoft Environmental Sustainability Report.pdf,Does the company have a strategy on waste management?,"Zero waste by 2030 across our direct waste footprint
Our commitment
Driving to zero waste operations 
We will achieve 90 percent diversion of operational waste at datacenters and campuses, and 75 percent diversion for all construction and deconstruction projects by 2030. 
Increasing reuse and recycling of servers and components 
By 2025, 90 percent of servers and components for all cloud hardware will be reused and recycled with support from our Circular Centers.5 
Eliminating single-use plastic 
By 2025, we will eliminate single-use plastics in all Microsoft primary product packaging and all IT asset packaging in our datacenters. 
Making fully recyclable products and packaging 
We will design Surface devices, Xbox products and accessories, and all Microsoft product packaging to be 100 percent recyclable in OECD countries by 2030.
Other achievements
Zero waste campuses
In FY22, we piloted a durables-first campaign in Dublin and Puget Sound, focusing on replacing items such as single-use cups and takeaway containers with reusable solutions","Driving to zero waste operations 
We will achieve 90 percent diversion of operational waste at datacenters and campuses, and 75 percent diversion for all construction and deconstruction projects by 2030. 
Increasing reuse and recycling of servers and components 
By 2025, 90 percent of servers and components for all cloud hardware will be reused and recycled with support from our Circular Centers.5 
Eliminating single-use plastic 
By 2025, we will eliminate single-use plastics in all Microsoft primary product packaging and all IT asset packaging in our datacenters. 
Making fully recyclable products and packaging 
We will design Surface devices, Xbox products and accessories, and all Microsoft product packaging to be 100 percent recyclable in OECD countries by 2030.",38,text,"[YES]. Microsoft has a strategy on waste management that involves reduction, recycling, and recovering waste.",3.0,,directly,1
9,2022 Microsoft Environmental Sustainability Report.pdf,Does the company report a plan to engage with downstream partners on water consumption or water pollution?,"Reducing our water footprint 
We take a holistic approach to water reduction across our campuses and datacenters from design to efficiency in existing systems, recycling and repurposing, and innovating new technologies. We measure and report the global water use of our campuses and datacenters to drive efficiency and reuse.","We take a holistic approach to water reduction across our campuses and datacenters from design to efficiency in existing systems, recycling and repurposing, and innovating new technologies. ",,text,"[NO]. While Microsoft reports how it plans to reduce water consumption internally and promote water justice in communities through philanthropic activities, it does not outline how it will engage with its downstream business partners on these issues. ",2.0,unsure,indirectly,1
8,2022 Microsoft Environmental Sustainability Report.pdf,Does the company report a plan to engage with downstream partners on water consumption or water pollution?,"Our approach 
In 2020, we made a commitment to be water positive by 2030 and co-founded the Water Resilience Coalition (WRC), an industry-driven, CEO-led coalition of the UN Global Compact CEO Water Mandate to reduce water stress by 2050. For Microsoft, being net water positive means we will reduce water consumption across our global operations, replenish more water than we use, provide people across the globe with access to water and sanitation services, drive innovation, and engage in water policy. 
Our internal water fee, modeled after our carbon fee, plays a critical role in enabling our progress against our water commitment. The fee was established in FY20 and is used to fund replenishment and access projects around the globe. It is charged to business groups based on annual water consumption projections at a rate that was determined with historical data and guidance from experts on the cost of replenishment projects. The objectives of the fee are to incentivize businesses across Microsoft to take steps to reduce water use and to raise internal awareness of our water positive commitment.","For Microsoft, being net water positive means we will reduce water consumption across our global operations, replenish more water than we use, provide people across the globe with access to water and sanitation services, drive innovation, and engage in water policy",,text,"[NO]. While Microsoft reports how it plans to reduce water consumption internally and promote water justice in communities through philanthropic activities, it does not outline how it will engage with its downstream business partners on these issues. ",2.0,,directly,1
