report,question,paragraph,score,position,relevance
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Learn more in the Environmental Data Fact Sheeta. The chart has been updated to reflect the latest actual values which incorporate the latest methodology, management’s criteria metrics, and structural change adjustments. Scope 2 and 3 values are market-based and management’s criteria metrics. b. Carbon negative by 2030: A company is carbon negative when it removes more carbon than it emits each year.Carbon Table 2Tracking our emissions across Scopes 1, 2, and 3Microsoft’s overall emissions decreased by 0.5 percent in FY22. This was driven by improvements in our operations, telemetry-based measurement, renewable energy investments, sustainable aviation fuel purchases, and procurement of unbundled renewable energy certificates (RECs).Learn more in the Environmental Data Fact Sheeta. Scope 2 a nd 3 values are market-based and management’s criteria metrics. b. Reported emissions for FY20 and FY21 have been recalculated for improved accuracy in accordance with our internal recalculation policy. We were able to disaggregate and identify previously unreported electricity for some of our leased datacenters due to improvements in our ability to capture such data.13 |  |  |",0.6926742792129517,1,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Learn more in the Environmental Data Fact Sheeta. The chart has been updated to reflect the latest actual values which incorporate the latest methodology, management’s criteria metrics, and structural change adjustments. Scope 2 and 3 values are market-based and management’s criteria metrics. b. Carbon negative by 2030: A company is carbon negative when it removes more carbon than it emits each year.Carbon Table 2Tracking our emissions across Scopes 1, 2, and 3Microsoft’s overall emissions decreased by 0.5 percent in FY22. This was driven by improvements in our operations, telemetry-based measurement, renewable energy investments, sustainable aviation fuel purchases, and procurement of unbundled renewable energy certificates (RECs).Learn more in the Environmental Data Fact Sheeta. Scope 2 a nd 3 values are market-based and management’s criteria metrics. b. Reported emissions for FY20 and FY21 have been recalculated for improved accuracy in accordance with our internal recalculation policy. We were able to disaggregate and identify previously unreported electricity for some of our leased datacenters due to improvements in our ability to capture such data.13 |  |  |",0.6926742792129517,2,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Learn more in the Environmental Data Fact Sheeta. The chart has been updated to reflect the latest actual values which incorporate the latest methodology, management’s criteria metrics, and structural change adjustments. Scope 2 and 3 values are market-based and management’s criteria metrics. b. Carbon negative by 2030: A company is carbon negative when it removes more carbon than it emits each year.Carbon Table 2Tracking our emissions across Scopes 1, 2, and 3Microsoft’s overall emissions decreased by 0.5 percent in FY22. This was driven by improvements in our operations, telemetry-based measurement, renewable energy investments, sustainable aviation fuel purchases, and procurement of unbundled renewable energy certificates (RECs).Learn more in the Environmental Data Fact Sheeta. Scope 2 a nd 3 values are market-based and management’s criteria metrics. b. Reported emissions for FY20 and FY21 have been recalculated for improved accuracy in accordance with our internal recalculation policy. We were able to disaggregate and identify previously unreported electricity for some of our leased datacenters due to improvements in our ability to capture such data.13 |  |  |",0.6926742792129517,3,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Learn more in the Environmental Data Fact Sheeta. The chart has been updated to reflect the latest actual values which incorporate the latest methodology, management’s criteria metrics, and structural change adjustments. Scope 2 and 3 values are market-based and management’s criteria metrics. b. Carbon negative by 2030: A company is carbon negative when it removes more carbon than it emits each year.Carbon Table 2Tracking our emissions across Scopes 1, 2, and 3Microsoft’s overall emissions decreased by 0.5 percent in FY22. This was driven by improvements in our operations, telemetry-based measurement, renewable energy investments, sustainable aviation fuel purchases, and procurement of unbundled renewable energy certificates (RECs).Learn more in the Environmental Data Fact Sheeta. Scope 2 a nd 3 values are market-based and management’s criteria metrics. b. Reported emissions for FY20 and FY21 have been recalculated for improved accuracy in accordance with our internal recalculation policy. We were able to disaggregate and identify previously unreported electricity for some of our leased datacenters due to improvements in our ability to capture such data.13 |  |  |",0.6926742792129517,4,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Learn more in the Environmental Data Fact Sheeta. The chart has been updated to reflect the latest actual values which incorporate the latest methodology, management’s criteria metrics, and structural change adjustments. Scope 2 and 3 values are market-based and management’s criteria metrics. b. Carbon negative by 2030: A company is carbon negative when it removes more carbon than it emits each year.Carbon Table 2Tracking our emissions across Scopes 1, 2, and 3Microsoft’s overall emissions decreased by 0.5 percent in FY22. This was driven by improvements in our operations, telemetry-based measurement, renewable energy investments, sustainable aviation fuel purchases, and procurement of unbundled renewable energy certificates (RECs).Learn more in the Environmental Data Fact Sheeta. Scope 2 a nd 3 values are market-based and management’s criteria metrics. b. Reported emissions for FY20 and FY21 have been recalculated for improved accuracy in accordance with our internal recalculation policy. We were able to disaggregate and identify previously unreported electricity for some of our leased datacenters due to improvements in our ability to capture such data.13 |  |  |",0.6926742792129517,5,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"Learn more in the Environmental Data Fact Sheeta. The chart has been updated to reflect the latest actual values which incorporate the latest methodology, management’s criteria metrics, and structural change adjustments. Scope 2 and 3 values are market-based and management’s criteria metrics. b. Carbon negative by 2030: A company is carbon negative when it removes more carbon than it emits each year.Carbon Table 2Tracking our emissions across Scopes 1, 2, and 3Microsoft’s overall emissions decreased by 0.5 percent in FY22. This was driven by improvements in our operations, telemetry-based measurement, renewable energy investments, sustainable aviation fuel purchases, and procurement of unbundled renewable energy certificates (RECs).Learn more in the Environmental Data Fact Sheeta. Scope 2 a nd 3 values are market-based and management’s criteria metrics. b. Reported emissions for FY20 and FY21 have been recalculated for improved accuracy in accordance with our internal recalculation policy. We were able to disaggregate and identify previously unreported electricity for some of our leased datacenters due to improvements in our ability to capture such data.13 |  |  |",0.6926742792129517,6,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"ForewordEnabling sustainability for our company,  our customers, and the world2022 marked the sixth warmest year in history. Extreme weather caused devastating droughts, wildfires, famine, floods, and heat waves with alarming frequency. We felt the effects of climate change like never before, and as the planet warms, we’ll continue to see and feel the negative impacts on ecosystems and communities around the world. The most recent report  from the Intergovernmental Panel on Climate Change (IPCC) underscores the severity of the climate crisis, and the urgent need for global collective action. Meaningful climate action requires an enduring commitment from both government and business, with the private sector playing an increasingly important role in the transition from pledges to progress. As we reflect on the seriousness of the climate crisis, we have expanded our ambition to meet this urgent climate need by investing in a broad range of initiatives, technologies and approaches that support a net zero future. As we look toward 2030—and beyond—we remain optimistic about our collective ability to decarbonize the global economy while continuing to grow and prosper as a global community.  4 |  |  | Melanie Nakagawa, Chief Sustainability Officer Brad Smith, Vice Chair and PresidentMicrosoft’s approach to addressing the climate crisis starts with the sustainability of our own business. In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystems—all by 2030.",0.6918127536773682,7,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"ForewordEnabling sustainability for our company,  our customers, and the world2022 marked the sixth warmest year in history. Extreme weather caused devastating droughts, wildfires, famine, floods, and heat waves with alarming frequency. We felt the effects of climate change like never before, and as the planet warms, we’ll continue to see and feel the negative impacts on ecosystems and communities around the world. The most recent report  from the Intergovernmental Panel on Climate Change (IPCC) underscores the severity of the climate crisis, and the urgent need for global collective action. Meaningful climate action requires an enduring commitment from both government and business, with the private sector playing an increasingly important role in the transition from pledges to progress. As we reflect on the seriousness of the climate crisis, we have expanded our ambition to meet this urgent climate need by investing in a broad range of initiatives, technologies and approaches that support a net zero future. As we look toward 2030—and beyond—we remain optimistic about our collective ability to decarbonize the global economy while continuing to grow and prosper as a global community.  4 |  |  | Melanie Nakagawa, Chief Sustainability Officer Brad Smith, Vice Chair and PresidentMicrosoft’s approach to addressing the climate crisis starts with the sustainability of our own business. In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystems—all by 2030.",0.6918127536773682,8,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"ForewordEnabling sustainability for our company,  our customers, and the world2022 marked the sixth warmest year in history. Extreme weather caused devastating droughts, wildfires, famine, floods, and heat waves with alarming frequency. We felt the effects of climate change like never before, and as the planet warms, we’ll continue to see and feel the negative impacts on ecosystems and communities around the world. The most recent report  from the Intergovernmental Panel on Climate Change (IPCC) underscores the severity of the climate crisis, and the urgent need for global collective action. Meaningful climate action requires an enduring commitment from both government and business, with the private sector playing an increasingly important role in the transition from pledges to progress. As we reflect on the seriousness of the climate crisis, we have expanded our ambition to meet this urgent climate need by investing in a broad range of initiatives, technologies and approaches that support a net zero future. As we look toward 2030—and beyond—we remain optimistic about our collective ability to decarbonize the global economy while continuing to grow and prosper as a global community.  4 |  |  | Melanie Nakagawa, Chief Sustainability Officer Brad Smith, Vice Chair and PresidentMicrosoft’s approach to addressing the climate crisis starts with the sustainability of our own business. In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystems—all by 2030.",0.6918127536773682,9,0
2022 Microsoft Environmental Sustainability Report.pdf,Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,"ForewordEnabling sustainability for our company,  our customers, and the world2022 marked the sixth warmest year in history. Extreme weather caused devastating droughts, wildfires, famine, floods, and heat waves with alarming frequency. We felt the effects of climate change like never before, and as the planet warms, we’ll continue to see and feel the negative impacts on ecosystems and communities around the world. The most recent report  from the Intergovernmental Panel on Climate Change (IPCC) underscores the severity of the climate crisis, and the urgent need for global collective action. Meaningful climate action requires an enduring commitment from both government and business, with the private sector playing an increasingly important role in the transition from pledges to progress. As we reflect on the seriousness of the climate crisis, we have expanded our ambition to meet this urgent climate need by investing in a broad range of initiatives, technologies and approaches that support a net zero future. As we look toward 2030—and beyond—we remain optimistic about our collective ability to decarbonize the global economy while continuing to grow and prosper as a global community.  4 |  |  | Melanie Nakagawa, Chief Sustainability Officer Brad Smith, Vice Chair and PresidentMicrosoft’s approach to addressing the climate crisis starts with the sustainability of our own business. In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystems—all by 2030.",0.6918127536773682,10,0
