query_id,chunk_id,position,score,Context,Question
Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,9c2a042bf8bc6684,1,3.0,"We have also engaged and supported the drive to increase the circularity of devices, boost transparency and efficiency in waste management policies, and empower consumers with better information. Globally, Microsoft advocated for public policies to accelerate climate action; invest in mitigation, adaptation, and a just transition; and align international climate reporting and disclosure rules. At COP27, Microsoft called on countries to remain committed to the target of limiting global warming to 1.5°C. In response to the UN Secretary-General's call to action to develop early warning systems for all within the next five years, Microsoft joined global leaders in support of this initiative while highlighting the fundamental role that technology can play in these efforts. 
Sharing principles that guide our policy work in carbon and electricity 
To support our policy work, we published briefs on carbon and electricity policy to share the priorities and principles that guide Microsoft's policy advocacy work around the world.",Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?
Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?,a11775d2a0ac848a,2,3.0,"Microsoft’s actions alone will not solve the climate crisis. As a global technology leader, we are also committed to helping build the enabling societal conditions that will support a net zero economy. We’re focused on accelerating the availability of new climate technologies, strengthening our climate policy agenda, helping to develop a more reliable and interoperable carbon accounting system, advocating for skilling programs to expand the green workforce, and working to enable a just energy transition.",Do the environmental/sustainability targets set by the company reference external climate change adaptation goals/targets?
Does the company have a strategy on waste management?,a2a51c48068d9643,1,3.0,"Reducing our waste footprint 
To meet our commitment to being zero waste by 2030, we are reducing, reusing, and recovering waste in our campuses and datacenters. 
We are focused on keeping our products and packaging in use longer. Reducing waste in our cloud hardware A critical piece of achieving our zero waste goal is managing cloud hardware at our growing fleet of datacenters. We have taken an innovative approach towards designing and implementing circularity into our datacenters by launching Circular Centers to optimize reuse",Does the company have a strategy on waste management?
Does the company have a strategy on waste management?,090c8ce98b9ac521,2,3.0,"We recognize the urgent need to reduce carbon emissions associated with the lifecycle of these materials. As a company that manufactures devices, builds campuses and datacenters, and uses manufactured goods in our operations, we have committed to responsibly design and source materials and build a more circular approach into our work and the world. To reach our commitment to become a zero waste company by 2030, Microsoft is taking an increasingly circular approach to materials management to reduce waste and carbon emissions. Our strategy goes beyond waste diversion as we work across our value chain, beginning with design and material selection. Wherever possible, we reduce the amount of materials needed. We responsibly source materials for our operations, products, and packaging. We are increasing the use of recycled and recyclable content, reducing hazardous substances, and designing out waste. We aim to keep products and materials in use longer through reuse and repair. We reduce waste generation at end of life with recycling and composting programs.",Does the company have a strategy on waste management?
Does the company identify any impacts of its business activities on the environment?,cbdf38145e02fc09,1,3.0,"Our approach 
Microsoft directly operates on approximately 11,000 acres of land around the world, and we recognize that our own land footprint has an impact on ecosystems. We have made a commitment to permanently protect more land than we use by 2025. We are also committed to being good stewards of the land we use – as well as going beyond our own operations and actively working to protect the environmental health of the communities that host our datacenter operations and where our employees live and work.",Does the company identify any impacts of its business activities on the environment?
Does the company identify any impacts of its business activities on the environment?,618c3fad3e536b91,2,3.0,"In FY22, our business grew by 18 percent and our overall emissions were down 0.5 percent. Our total company emissions were just under 13 million metric tons of carbon dioxide equivalents (mtCO 2e) (marketbased and management-defined criteria for Scope 3 Category 11). Taking into account our renewable energy purchases, our Scope 1 and 2 emissions were approximately 428,000 mtCO 2 e. More than 96 percent of our emissions are in Scope 3, which includes emissions from our supply chain, the lifecycle of our hardware and devices, travel, and other indirect sources. We saw a 0.5 percent increase in our Scope 3 emissions this year based on investments in real-time device telemetry-based measurement, improvements in our operations and supply chain, and purchases of renewable energy.",Does the company identify any impacts of its business activities on the environment?
Does the company identify any impacts of its business activities on the environment?,d28cbca6793df5b1,3,2.0,"Zero waste 
We increased our reuse and recycle rates of all cloud hardware to 82 percent and continue to pace toward our 2030 reuse and recycle goal of 90 percent. We also reduced single-use plastics across all Microsoft product packaging to 3.3 percent and are on track to eliminate their use by 2025. In total, we have diverted 12,159 metric tons of solid waste from landfills. 
Ecosystem protection 
We continue to maintain our commitment to protect more land than we use. In 2022, 12,000 of the over 17,000 acres of contracted land were officially designated as protected. The amount of land protected in 2022 exceeds the approximately 11,200 acres of land we currently use.",Does the company identify any impacts of its business activities on the environment?
Does the company identify any impacts of its business activities on the environment?,d28cbca6793df5b1,4,2.0,"Zero waste 
We increased our reuse and recycle rates of all cloud hardware to 82 percent and continue to pace toward our 2030 reuse and recycle goal of 90 percent. We also reduced single-use plastics across all Microsoft product packaging to 3.3 percent and are on track to eliminate their use by 2025. In total, we have diverted 12,159 metric tons of solid waste from landfills. 
Ecosystem protection 
We continue to maintain our commitment to protect more land than we use. In 2022, 12,000 of the over 17,000 acres of contracted land were officially designated as protected. The amount of land protected in 2022 exceeds the approximately 11,200 acres of land we currently use.",Does the company identify any impacts of its business activities on the environment?
Does the company have a strategy on waste management?,0ac6290b40c3ce72,3,3.0,"Zero waste by 2030 across our direct waste footprint
Our commitment
Driving to zero waste operations 
We will achieve 90 percent diversion of operational waste at datacenters and campuses, and 75 percent diversion for all construction and deconstruction projects by 2030. 
Increasing reuse and recycling of servers and components 
By 2025, 90 percent of servers and components for all cloud hardware will be reused and recycled with support from our Circular Centers.5 
Eliminating single-use plastic 
By 2025, we will eliminate single-use plastics in all Microsoft primary product packaging and all IT asset packaging in our datacenters. 
Making fully recyclable products and packaging 
We will design Surface devices, Xbox products and accessories, and all Microsoft product packaging to be 100 percent recyclable in OECD countries by 2030.
Other achievements
Zero waste campuses
In FY22, we piloted a durables-first campaign in Dublin and Puget Sound, focusing on replacing items such as single-use cups and takeaway containers with reusable solutions",Does the company have a strategy on waste management?
Does the company report a plan to engage with downstream partners on water consumption or water pollution?,3b4f532249955491,1,2.0,"Reducing our water footprint 
We take a holistic approach to water reduction across our campuses and datacenters from design to efficiency in existing systems, recycling and repurposing, and innovating new technologies. We measure and report the global water use of our campuses and datacenters to drive efficiency and reuse.",Does the company report a plan to engage with downstream partners on water consumption or water pollution?
Does the company report a plan to engage with downstream partners on water consumption or water pollution?,de4986a4cfd4ce26,2,2.0,"Our approach 
In 2020, we made a commitment to be water positive by 2030 and co-founded the Water Resilience Coalition (WRC), an industry-driven, CEO-led coalition of the UN Global Compact CEO Water Mandate to reduce water stress by 2050. For Microsoft, being net water positive means we will reduce water consumption across our global operations, replenish more water than we use, provide people across the globe with access to water and sanitation services, drive innovation, and engage in water policy. 
Our internal water fee, modeled after our carbon fee, plays a critical role in enabling our progress against our water commitment. The fee was established in FY20 and is used to fund replenishment and access projects around the globe. It is charged to business groups based on annual water consumption projections at a rate that was determined with historical data and guidance from experts on the cost of replenishment projects. The objectives of the fee are to incentivize businesses across Microsoft to take steps to reduce water use and to raise internal awareness of our water positive commitment.",Does the company report a plan to engage with downstream partners on water consumption or water pollution?
Does the company report short-term actions taken or planned to reduce its waste generation?,5d74e8c363f0ee76,1,3.0,"We recognize the urgent need to reduce carbon emissions associated with the lifecycle of these materials. As a company that manufactures devices, builds campuses and datacenters, and uses manufactured goods in our operations, we have committed to responsibly design and source materials and build a more circular approach into our work and the world. To reach our commitment to become a zero waste company by 2030, Microsoft is taking an increasingly circular approach to materials management to reduce waste and carbon emissions. Our strategy goes beyond waste diversion as we work across our value chain, beginning with design and material selection. Wherever possible, we reduce the amount of materials needed. We responsibly source materials for our operations, products, and packaging. We are increasing the use of recycled and recyclable content, reducing hazardous substances, and designing out waste. We aim to keep products and materials in use longer through reuse and repair. We reduce waste generation at end of life with recycling and composting programs",Does the company report short-term actions taken or planned to reduce its waste generation?
Does the company report short-term actions taken or planned to reduce its waste generation?,5d74e8c363f0ee76,2,3.0,"We recognize the urgent need to reduce carbon emissions associated with the lifecycle of these materials. As a company that manufactures devices, builds campuses and datacenters, and uses manufactured goods in our operations, we have committed to responsibly design and source materials and build a more circular approach into our work and the world. To reach our commitment to become a zero waste company by 2030, Microsoft is taking an increasingly circular approach to materials management to reduce waste and carbon emissions. Our strategy goes beyond waste diversion as we work across our value chain, beginning with design and material selection. Wherever possible, we reduce the amount of materials needed. We responsibly source materials for our operations, products, and packaging. We are increasing the use of recycled and recyclable content, reducing hazardous substances, and designing out waste. We aim to keep products and materials in use longer through reuse and repair. We reduce waste generation at end of life with recycling and composting programs",Does the company report short-term actions taken or planned to reduce its waste generation?
Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,a11775d2a0ac848a,1,3.0,"Microsoft’s actions alone will not solve the climate crisis. As a global technology leader, we are also committed to helping build the enabling societal conditions that will support a net zero economy. We’re focused on accelerating the availability of new climate technologies, strengthening our climate policy agenda, helping to develop a more reliable and interoperable carbon accounting system, advocating for skilling programs to expand the green workforce, and working to enable a just energy transition.",Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?
Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?,9c2a042bf8bc6684,2,3.0,"We have also engaged and supported the drive to increase the circularity of devices, boost transparency and efficiency in waste management policies, and empower consumers with better information. Globally, Microsoft advocated for public policies to accelerate climate action; invest in mitigation, adaptation, and a just transition; and align international climate reporting and disclosure rules. At COP27, Microsoft called on countries to remain committed to the target of limiting global warming to 1.5°C. In response to the UN Secretary-General's call to action to develop early warning systems for all within the next five years, Microsoft joined global leaders in support of this initiative while highlighting the fundamental role that technology can play in these efforts. 
Sharing principles that guide our policy work in carbon and electricity 
To support our policy work, we published briefs on carbon and electricity policy to share the priorities and principles that guide Microsoft's policy advocacy work around the world.",Do the environmental/sustainability targets set by the company align with external climate change adaptation goals/targets?
Does the company identify any impacts of its business activities on the environment?,064ef81d5c9d2bfe,5,1.0,"In 2022, our business grew by 18 percent and our overall emissions declined by 0.5 percent. This in part is a result of a reduction in our direct operational (Scope 1 and 2) emissions by 22.7 percent. At Microsoft, Scope 1 and 2 emissions account for less than four percent of total emissions, while indirect emissions, or Scope 3, account for more than 96 percent.
Our Scope 3 reported emissions increased slightly in 2022, by 0.5 percent, despite a 25 percent increase in purchased goods and services due to business growth. The more positive outcomes in 2022 are the result of improvements in our operations, real-time device telemetry-based measurement, renewable energy investments, sustainable aviation fuel (SAF) purchases, and procurement of unbundled renewable energy certificates (RECs).",Does the company identify any impacts of its business activities on the environment?
Does the company report short-term actions taken or planned to reduce its waste generation?,9b712eb5ffbd26c8,3,3.0,"Short term (2024-5): 
Focus on achieving our legacy commitment on operational waste (80 per cent reduction by 2025, versus a 2014/15 baseline
Focus on data quality, increasing granularity and accuracy of operational waste data, working with suppliers to maximise our technology waste capture capabilities
Develop a new recycling and single use items strategy across our operations and introduce circularity principle and zero waste policy for our larger sites
Expand external waste disclosure to include all operational and technology waste
Complete our first TRUE zero waste certification pilot in one of our major offices.",Does the company report short-term actions taken or planned to reduce its waste generation?
Does the company report short-term actions taken or planned to reduce its waste generation?,e6f0e147a8201187,4,3.0,"Longer term (2026-2030)
Remove single-use items from our own operations. 
Embed innovation across our operations and technology waste, with focus on recycling, data, waste audit and gamificationAchieve TRUE certification as part of our governance for our larger occupied sites and embed updates into our annual external 
Work with suppliers to embed a materials circularity principle across our goods sourcing.",Does the company report short-term actions taken or planned to reduce its waste generation?
Does the company report a plan to engage with downstream partners on water consumption or water pollution?,e3fce0c4cf7556af,3,2.0,"Furthermore, we have advanced our approach to responsible investment and stewardship through the implementation of Voting Guidelines, which we use to monitor and, where appropriate, challenge our key managers’ voting policies and practices to influence and encourage them to make their own in-house policies more progressive. Where relevant, our guidelines adopt a stance that investee companies should promote biodiversity, conservation, water quality, waste management and nature-based solutions to allow nature and people to flourish. These guidelines also set out our expectations that companies have (or are actively working towards) adequate policies and programmes on sustainable land and water use to protect nature and address community concerns on land use",Does the company report a plan to engage with downstream partners on water consumption or water pollution?
Does the company identify any impacts of its business activities on the environment?,41d8d4126422fbe6,6,3.0,"Our activity 
The role of Lloyds Banking Group 
We recognise that we, like every individual and organisation, have both an impact and a dependency on our natural world. We believe there are several ways that the Group can play a critical role in halting and reversing nature loss and helping the economy transition",Does the company identify any impacts of its business activities on the environment?
Does the company identify any impacts of its business activities on the environment?,context_6009,7,3.0,,Does the company identify any impacts of its business activities on the environment?
Does the company have a strategy on waste management?,5c8c8df0d4b53aef,4,3.0,"By 2025, we will achieve our existing 80 per cent waste reduction target, and by 2030 we will align with the Zero Waste International Alliance’s definition of a zero-waste business, diverting over 90 per cent of our operational and technology waste from landfill and incineration, focusing our effort on preventing, reducing, reusing and recycling waste. As part of our pledge, we will: 
- Measure and disclose our full operational and technology waste impact 
- By 2030, divert over 90 per cent of our operational and technology waste from landfill and incineration, with the ambition to include construction waste when better data is available
-  Achieve the TRUE waste certification across our larger operating sites",Does the company have a strategy on waste management?
Does the company have a strategy on waste management?,ccd2ef93332d9924,5,3.0,"In 2024, as we mobilise activities on our new ‘Zero Waste by 2030’ target details on page 98, we will also continue our journey to achieve 80 per cent reduction in operational waste by 2025 across our branches and offices by: 
- Continuing to build colleague awareness with communication and engagement activities to help reduce our operational waste, as colleagues have a significant role to play in achieving our ambition 
- Continuing to right-size our printer estate in offices and branches 
- Continuing removal of single-use plastic items from our catering and cleaning operations From 2025, we will start reporting our performance against our new ‘Zero Waste by 2030’ target, alongside our legacy waste reduction target. As more colleagues continue working in our offices, we face a significant challenge in maintaining the low levels of waste measured alongside increasing our recycling rate and decreasing waste contamination. This is why we will: 
- Continue focusing on reducing our operational and technology waste to support our zero waste by 2030 ambitions 
- Embed long-term circular economy principles across our operations, to support and expand our ambitious waste reduction target 
– Prioritise strategies to prevent waste, prepare it for reuse, recycle, recover other value (e.g. energy) and finally, dispose only if no other alternatives are available",Does the company have a strategy on waste management?
Does the company have a strategy on waste management?,9b712eb5ffbd26c8,6,3.0,"Short term (2024-5): 
Focus on achieving our legacy commitment on operational waste (80 per cent reduction by 2025, versus a 2014/15 baseline
Focus on data quality, increasing granularity and accuracy of operational waste data, working with suppliers to maximise our technology waste capture capabilities
Develop a new recycling and single use items strategy across our operations and introduce circularity principle and zero waste policy for our larger sites
Expand external waste disclosure to include all operational and technology waste
Complete our first TRUE zero waste certification pilot in one of our major offices.",Does the company have a strategy on waste management?
Does the company have a strategy on waste management?,e6f0e147a8201187,7,3.0,"Longer term (2026-2030)
Remove single-use items from our own operations. 
Embed innovation across our operations and technology waste, with focus on recycling, data, waste audit and gamificationAchieve TRUE certification as part of our governance for our larger occupied sites and embed updates into our annual external 
Work with suppliers to embed a materials circularity principle across our goods sourcing.",Does the company have a strategy on waste management?
Does the company report short-term actions taken or planned to reduce its waste generation?,5c8c8df0d4b53aef,5,3.0,"By 2025, we will achieve our existing 80 per cent waste reduction target, and by 2030 we will align with the Zero Waste International Alliance’s definition of a zero-waste business, diverting over 90 per cent of our operational and technology waste from landfill and incineration, focusing our effort on preventing, reducing, reusing and recycling waste. As part of our pledge, we will: 
- Measure and disclose our full operational and technology waste impact 
- By 2030, divert over 90 per cent of our operational and technology waste from landfill and incineration, with the ambition to include construction waste when better data is available
-  Achieve the TRUE waste certification across our larger operating sites",Does the company report short-term actions taken or planned to reduce its waste generation?
Does the company identify any impacts of its business activities on the environment?,34599695689a4bc9,8,3.0,"Our bank financed emissions.
Our Scope 3 financed emissions are calculated from the Scope 1 and 2 emissions generated from our investments or lending. Scope 3 (value chain) emissions are also calculated and reported separately for certain sectors, aligning to the PCAF standard phased approach. We continue to refine our estimates of financed emissions as we enhance our understanding, calculation methodologies and data. Further details on our calculation methodology can be found within the sustainability metrics basis of reporting . We recognise our role in the UK economy, and the opportunities it creates to support the transition of our most carbon-intensive sectors in order to meet our net zero ambitions. In supporting the transition through direct financing our financed emissions may increase on a temporary basis. In the long-term we expect that supporting the transition of our high carbon sector clients will reduce our financed emissions",Does the company identify any impacts of its business activities on the environment?
